"","date","hits","geo","time","keyword","gprop","category"
"1",2017-04-23,69,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"2",2017-04-30,83,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"3",2017-05-07,87,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"4",2017-05-14,76,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"5",2017-05-21,74,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"6",2017-05-28,99,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"7",2017-06-04,69,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"8",2017-06-11,77,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"9",2017-06-18,75,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"10",2017-06-25,68,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"11",2017-07-02,71,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"12",2017-07-09,60,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"13",2017-07-16,87,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"14",2017-07-23,73,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"15",2017-07-30,71,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"16",2017-08-06,74,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"17",2017-08-13,57,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"18",2017-08-20,70,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"19",2017-08-27,64,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"20",2017-09-03,75,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"21",2017-09-10,61,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"22",2017-09-17,65,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"23",2017-09-24,58,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"24",2017-10-01,39,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"25",2017-10-08,46,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"26",2017-10-15,60,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"27",2017-10-22,49,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"28",2017-10-29,51,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"29",2017-11-05,52,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"30",2017-11-12,41,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"31",2017-11-19,38,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"32",2017-11-26,78,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"33",2017-12-03,69,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"34",2017-12-10,63,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"35",2017-12-17,53,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"36",2017-12-24,29,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"37",2017-12-31,56,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"38",2018-01-07,37,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"39",2018-01-14,44,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"40",2018-01-21,57,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"41",2018-01-28,61,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"42",2018-02-04,64,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"43",2018-02-11,59,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"44",2018-02-18,43,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"45",2018-02-25,46,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"46",2018-03-04,50,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"47",2018-03-11,68,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"48",2018-03-18,63,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"49",2018-03-25,69,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"50",2018-04-01,62,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"51",2018-04-08,82,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"52",2018-04-15,53,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"53",2018-04-22,58,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"54",2018-04-29,79,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"55",2018-05-06,48,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"56",2018-05-13,100,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"57",2018-05-20,80,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"58",2018-05-27,72,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"59",2018-06-03,59,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"60",2018-06-10,71,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"61",2018-06-17,83,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"62",2018-06-24,61,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"63",2018-07-01,65,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"64",2018-07-08,65,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"65",2018-07-15,63,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"66",2018-07-22,44,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"67",2018-07-29,73,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"68",2018-08-05,60,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"69",2018-08-12,70,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"70",2018-08-19,65,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"71",2018-08-26,51,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"72",2018-09-02,57,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"73",2018-09-09,46,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"74",2018-09-16,59,"AT","2017-04-22 2020-04-21","t-shirt","web",0
"75",2018-09-23,53,"AT","2017-04-22 2020-04-21","t-shirt","web",0
