"","date","hits","geo","time","keyword","gprop","category"
"1",2017-04-23,18,"EC","2017-04-20 2020-04-19","sweater","web",0
"2",2017-04-30,18,"EC","2017-04-20 2020-04-19","sweater","web",0
"3",2017-05-07,53,"EC","2017-04-20 2020-04-19","sweater","web",0
"4",2017-05-14,29,"EC","2017-04-20 2020-04-19","sweater","web",0
"5",2017-05-21,40,"EC","2017-04-20 2020-04-19","sweater","web",0
"6",2017-05-28,19,"EC","2017-04-20 2020-04-19","sweater","web",0
"7",2017-06-04,47,"EC","2017-04-20 2020-04-19","sweater","web",0
"8",2017-06-11,38,"EC","2017-04-20 2020-04-19","sweater","web",0
"9",2017-06-18,19,"EC","2017-04-20 2020-04-19","sweater","web",0
"10",2017-06-25,29,"EC","2017-04-20 2020-04-19","sweater","web",0
"11",2017-07-02,40,"EC","2017-04-20 2020-04-19","sweater","web",0
"12",2017-07-09,59,"EC","2017-04-20 2020-04-19","sweater","web",0
"13",2017-07-16,39,"EC","2017-04-20 2020-04-19","sweater","web",0
"14",2017-07-23,20,"EC","2017-04-20 2020-04-19","sweater","web",0
"15",2017-07-30,29,"EC","2017-04-20 2020-04-19","sweater","web",0
"16",2017-08-06,20,"EC","2017-04-20 2020-04-19","sweater","web",0
"17",2017-08-13,20,"EC","2017-04-20 2020-04-19","sweater","web",0
"18",2017-08-20,68,"EC","2017-04-20 2020-04-19","sweater","web",0
"19",2017-08-27,20,"EC","2017-04-20 2020-04-19","sweater","web",0
"20",2017-09-03,40,"EC","2017-04-20 2020-04-19","sweater","web",0
"21",2017-09-10,57,"EC","2017-04-20 2020-04-19","sweater","web",0
"22",2017-09-17,19,"EC","2017-04-20 2020-04-19","sweater","web",0
"23",2017-09-24,28,"EC","2017-04-20 2020-04-19","sweater","web",0
"24",2017-10-01,18,"EC","2017-04-20 2020-04-19","sweater","web",0
"25",2017-10-08,56,"EC","2017-04-20 2020-04-19","sweater","web",0
"26",2017-10-15,0,"EC","2017-04-20 2020-04-19","sweater","web",0
"27",2017-10-22,18,"EC","2017-04-20 2020-04-19","sweater","web",0
"28",2017-10-29,62,"EC","2017-04-20 2020-04-19","sweater","web",0
"29",2017-11-05,35,"EC","2017-04-20 2020-04-19","sweater","web",0
"30",2017-11-12,35,"EC","2017-04-20 2020-04-19","sweater","web",0
"31",2017-11-19,26,"EC","2017-04-20 2020-04-19","sweater","web",0
"32",2017-11-26,53,"EC","2017-04-20 2020-04-19","sweater","web",0
"33",2017-12-03,47,"EC","2017-04-20 2020-04-19","sweater","web",0
"34",2017-12-10,74,"EC","2017-04-20 2020-04-19","sweater","web",0
"35",2017-12-17,62,"EC","2017-04-20 2020-04-19","sweater","web",0
"36",2017-12-24,48,"EC","2017-04-20 2020-04-19","sweater","web",0
"37",2017-12-31,41,"EC","2017-04-20 2020-04-19","sweater","web",0
"38",2018-01-07,26,"EC","2017-04-20 2020-04-19","sweater","web",0
"39",2018-01-14,17,"EC","2017-04-20 2020-04-19","sweater","web",0
"40",2018-01-21,35,"EC","2017-04-20 2020-04-19","sweater","web",0
"41",2018-01-28,36,"EC","2017-04-20 2020-04-19","sweater","web",0
"42",2018-02-04,19,"EC","2017-04-20 2020-04-19","sweater","web",0
"43",2018-02-11,22,"EC","2017-04-20 2020-04-19","sweater","web",0
"44",2018-02-18,37,"EC","2017-04-20 2020-04-19","sweater","web",0
"45",2018-02-25,36,"EC","2017-04-20 2020-04-19","sweater","web",0
"46",2018-03-04,28,"EC","2017-04-20 2020-04-19","sweater","web",0
"47",2018-03-11,28,"EC","2017-04-20 2020-04-19","sweater","web",0
"48",2018-03-18,38,"EC","2017-04-20 2020-04-19","sweater","web",0
"49",2018-03-25,83,"EC","2017-04-20 2020-04-19","sweater","web",0
"50",2018-04-01,58,"EC","2017-04-20 2020-04-19","sweater","web",0
"51",2018-04-08,19,"EC","2017-04-20 2020-04-19","sweater","web",0
"52",2018-04-15,19,"EC","2017-04-20 2020-04-19","sweater","web",0
"53",2018-04-22,27,"EC","2017-04-20 2020-04-19","sweater","web",0
"54",2018-04-29,38,"EC","2017-04-20 2020-04-19","sweater","web",0
"55",2018-05-06,26,"EC","2017-04-20 2020-04-19","sweater","web",0
"56",2018-05-13,43,"EC","2017-04-20 2020-04-19","sweater","web",0
"57",2018-05-20,18,"EC","2017-04-20 2020-04-19","sweater","web",0
"58",2018-05-27,53,"EC","2017-04-20 2020-04-19","sweater","web",0
"59",2018-06-03,26,"EC","2017-04-20 2020-04-19","sweater","web",0
"60",2018-06-10,56,"EC","2017-04-20 2020-04-19","sweater","web",0
"61",2018-06-17,50,"EC","2017-04-20 2020-04-19","sweater","web",0
"62",2018-06-24,43,"EC","2017-04-20 2020-04-19","sweater","web",0
"63",2018-07-01,43,"EC","2017-04-20 2020-04-19","sweater","web",0
"64",2018-07-08,35,"EC","2017-04-20 2020-04-19","sweater","web",0
"65",2018-07-15,28,"EC","2017-04-20 2020-04-19","sweater","web",0
"66",2018-07-22,28,"EC","2017-04-20 2020-04-19","sweater","web",0
"67",2018-07-29,55,"EC","2017-04-20 2020-04-19","sweater","web",0
"68",2018-08-05,0,"EC","2017-04-20 2020-04-19","sweater","web",0
"69",2018-08-12,19,"EC","2017-04-20 2020-04-19","sweater","web",0
"70",2018-08-19,48,"EC","2017-04-20 2020-04-19","sweater","web",0
"71",2018-08-26,29,"EC","2017-04-20 2020-04-19","sweater","web",0
"72",2018-09-02,58,"EC","2017-04-20 2020-04-19","sweater","web",0
"73",2018-09-09,28,"EC","2017-04-20 2020-04-19","sweater","web",0
"74",2018-09-16,37,"EC","2017-04-20 2020-04-19","sweater","web",0
"75",2018-09-23,36,"EC","2017-04-20 2020-04-19","sweater","web",0
"76",2018-09-30,54,"EC","2017-04-20 2020-04-19","sweater","web",0
"77",2018-10-07,58,"EC","2017-04-20 2020-04-19","sweater","web",0
"78",2018-10-14,37,"EC","2017-04-20 2020-04-19","sweater","web",0
"79",2018-10-21,47,"EC","2017-04-20 2020-04-19","sweater","web",0
"80",2018-10-28,64,"EC","2017-04-20 2020-04-19","sweater","web",0
"81",2018-11-04,36,"EC","2017-04-20 2020-04-19","sweater","web",0
"82",2018-11-11,46,"EC","2017-04-20 2020-04-19","sweater","web",0
"83",2018-11-18,37,"EC","2017-04-20 2020-04-19","sweater","web",0
"84",2018-11-25,83,"EC","2017-04-20 2020-04-19","sweater","web",0
