"","date","hits","geo","time","keyword","gprop","category"
"1",2017-04-23,20,"MA","2017-04-20 2020-04-19","wallet","web",0
"2",2017-04-30,41,"MA","2017-04-20 2020-04-19","wallet","web",0
"3",2017-05-07,37,"MA","2017-04-20 2020-04-19","wallet","web",0
"4",2017-05-14,36,"MA","2017-04-20 2020-04-19","wallet","web",0
"5",2017-05-21,19,"MA","2017-04-20 2020-04-19","wallet","web",0
"6",2017-05-28,38,"MA","2017-04-20 2020-04-19","wallet","web",0
"7",2017-06-04,46,"MA","2017-04-20 2020-04-19","wallet","web",0
"8",2017-06-11,41,"MA","2017-04-20 2020-04-19","wallet","web",0
"9",2017-06-18,53,"MA","2017-04-20 2020-04-19","wallet","web",0
"10",2017-06-25,17,"MA","2017-04-20 2020-04-19","wallet","web",0
"11",2017-07-02,39,"MA","2017-04-20 2020-04-19","wallet","web",0
"12",2017-07-09,42,"MA","2017-04-20 2020-04-19","wallet","web",0
"13",2017-07-16,27,"MA","2017-04-20 2020-04-19","wallet","web",0
"14",2017-07-23,35,"MA","2017-04-20 2020-04-19","wallet","web",0
"15",2017-07-30,35,"MA","2017-04-20 2020-04-19","wallet","web",0
"16",2017-08-06,22,"MA","2017-04-20 2020-04-19","wallet","web",0
"17",2017-08-13,36,"MA","2017-04-20 2020-04-19","wallet","web",0
"18",2017-08-20,23,"MA","2017-04-20 2020-04-19","wallet","web",0
"19",2017-08-27,61,"MA","2017-04-20 2020-04-19","wallet","web",0
"20",2017-09-03,23,"MA","2017-04-20 2020-04-19","wallet","web",0
"21",2017-09-10,41,"MA","2017-04-20 2020-04-19","wallet","web",0
"22",2017-09-17,13,"MA","2017-04-20 2020-04-19","wallet","web",0
"23",2017-09-24,22,"MA","2017-04-20 2020-04-19","wallet","web",0
"24",2017-10-01,40,"MA","2017-04-20 2020-04-19","wallet","web",0
"25",2017-10-08,53,"MA","2017-04-20 2020-04-19","wallet","web",0
"26",2017-10-15,26,"MA","2017-04-20 2020-04-19","wallet","web",0
"27",2017-10-22,43,"MA","2017-04-20 2020-04-19","wallet","web",0
"28",2017-10-29,30,"MA","2017-04-20 2020-04-19","wallet","web",0
"29",2017-11-05,22,"MA","2017-04-20 2020-04-19","wallet","web",0
"30",2017-11-12,49,"MA","2017-04-20 2020-04-19","wallet","web",0
